id,type,des
10752,弱口令,攻击者可利用互联网公开的常见弱口令尝试登录管理后台，进而利用后台管理功能窃取或修改数据，甚至可能通过对后台进行漏洞挖掘及利用最终获取服务器权限。
10753,代码执行,攻击者利用此漏洞，可执行恶意代码获取整个网站和数据库的控制权限，包括修改删除网站页面、窃取数据库敏感信息；甚至以网站为跳板，获取整个内网服务器控制权限。
10754,命令执行,攻击者利用此漏洞，可执行恶意操作系统命令，获取整个网站和数据库的控制权限，包括修改删除网站页面、窃取数据库敏感信息；甚至以网站为跳板，获取整个内网服务器控制权限。
10755,文件上传/创建,攻击者利用此漏洞，可直接上传木马文件，以获取整个网站和数据库的控制权限，包括修改删除网站页面、窃取数据库敏感信息；甚至以网站为跳板，获取整个内网服务器控制权限。
10756,文件删除,攻击者利用此漏洞可直接删除web目录甚至服务器上任意格式文件，直接导致业务系统中断、崩溃。
10757,文件修改,攻击者利用此漏洞，可修改文件内容及后缀，创建木马文件，以获取整个网站和数据库的控制权限，包括修改删除网站页面、窃取数据库敏感信息；甚至以网站为跳板，获取整个内网服务器控制权限。
10758,文件下载/读取,如果系统未对读取/下载文件的文件目录做限制，攻击者利用此漏洞可直接读取web目录下任意文件，比如配置文件、数据库文件等，甚至直接获取服务器上任意文件内容。
10759,文件包含,开发人员为了使代码更灵活，会将被包含的文件设置为变量，用来进行动态调用，从而导致客户端可以恶意调用一个恶意文件，造成文件包含漏洞。
10760,目录遍历/目录穿越,攻击者通过该漏洞可以看到服务器上的文件目录结构，获取应用系统文件敏感文件，比如备份文件、数据库文件、源代码文件等，导致应用程序大量敏感信息泄漏。
10761,SQL注入,"1、获取数据库访问权限，甚至获得DBA权限；
2、获取其他数据库中的数据；
3、盗取用户的机密信息包括账户、个人私密信息、交易信息等等；
4、运行各种操作系统命令；
5、通过构造特殊的数据库查询语句，可操作数据库进入后台并插入木马，以获取整个网站和数据库的控制权限；
6、篡改、删除网站页面；
7、数据库所在服务器被攻击从而变为傀儡主机，甚至可能导致局域网(内网)被入侵；"
10762,XXE（XML注入）,"1、利用 XXE 进行 DOS 攻击；
2、读取本地任意敏感文件；
3、利用相关协议进行SSRF探测内网主机IP、端口等信息；
4、在特定条件下利用Java中的jar:// 协议，php 中的 phar://可能导致恶意文件上传；
5、PHP中如果安装了expect扩展，可利用XXE执行任意命令"
10763,XSS,"1、钓鱼欺骗：最典型的就是利用目标网站的反射型跨站脚本漏洞将目标网站重定向到钓鱼网站，或者注入钓鱼JavaScript以监控目标网站的表单输入，甚至发起基于DHTML更高级的钓鱼攻击方式。
2、网站挂马：跨站后利用IFrame嵌入隐藏的恶意网站或者将被攻击者定向到恶意网站上，或者弹出恶意网站窗口等方式都可以进行挂马攻击。
3、身份盗用：Cookie是用户对于特定网站的身份验证标志，XSS可以盗取用户的Cookie，就可以获取到用户对网站的操作权限，从而查看用户隐私信息。
4、用户劫持：一些高级的XSS，比如xss蠕虫等。
5、控制受害者机器向其他系统发起攻击。"
10764,CSRF,"CSRF漏洞是借助受害者的cookie来进行攻击者想要的恶意操作，攻击者并不是拿到了受害者cookie，对于服务器返回的结果也无法解析查看，攻击者的攻击就是让服务器执行了自己想要的操作指令或业务流程。
最常见的攻击场景为：攻击者冒充用户/管理员伪造请求，进行网页篡改；用户修改、添加用户、密码修改；发送帖子、消息等非法操作。"
10765,SSRF,"1、内网、本地端口扫描，获取开放端口信息；
2、主机信息收集，web应用指纹识别，获取服务banner信息等；
3、根据识别出的应用针对性的发送payload攻击，例如struts2、redis、攻击内网、本地的应用程序及服务等；
4、穿越防火墙
5、利用file等其他允许协议进行绕过攻击，比如利用file协议读取本地文件（file:///etc/passwd）"
10766,URL重定向,"1、攻击者可能会使用Web服务器攻击其他站点；
2、如果对输出没有做严格限制，将可能导致反射性XSS漏洞；
3、黑产将利用此漏洞，从信任网站跳转到攻击者构造的恶意网站用来进行钓鱼、诈骗等行为；"
10767,越权漏洞,"1、垂直越权漏洞会导致低权限用户用来执行高权限用户的功能，获取高权限用户的账号信息，执行高权限用户的操作功能。
2、水平越权会导致同一层级间的用户可以互相访问到对方的敏感信息，如姓名、手机号、联系地址、个人资料、订单记录等。同时还可能会以其他平级权限用户的身份来执行某行功能，如删除，添加，修改等。"
10768,逻辑漏洞,攻击者利用漏洞，可绕过程序限制，严重可获取系统或服务器权限，任意篡改数据等
10769,后门漏洞,攻击者利用后门漏洞，可以远程控制服务器，可执行恶意操作系统命令，获取整个网站和数据库的控制权限，包括修改删除网站页面、窃取数据库敏感信息；甚至以网站为跳板，获取整个内网服务器控制权限。
10770,拒绝服务,攻击者利用此漏洞，可使系统无法正常使用，消耗系统正常服务资源
10771,缓存溢出,攻击者可以利用它执行非授权指令，甚至取得系统特权，进而实行攻击行为
10772,HTTP头伪造,"1、通过在响应头中设置一个SESSION，即可造成一个“会话固定漏洞”；
2、通过向响应头中注入恶意配置，即可造成一个无视浏览器Filter的反射型XSS；
3、跳转劫持；
4、通过注入html代码可以进行钓鱼；"
10773,敏感信息泄露,可能导致应用绝对路径泄漏，源代码泄漏，敏感函数、控制器等泄漏，SQL语句泄漏，数据库敏感信息泄漏，接口信息等敏感信息泄漏。
10774,安全配置错误,攻击者可以利用此漏洞获取敏感信息，登陆系统，获取服务器权限等
10775,反序列化漏洞,攻击者利用此漏洞，可执行恶意代码获取整个网站和数据库的控制权限，包括修改删除网站页面、窃取数据库敏感信息；甚至以网站为跳板，获取整个内网服务器控制权限。
